technical_grade,english_grade,qualifies
78,65,1
26,62,0
91,89,1
28,67,0
61,52,0
66,88,1
60,42,0
71,85,1
55,48,0
52,26,0
60,33,0
61,61,1
35,40,0
85,39,0
66,29,0
85,38,1
28,63,0
34,46,0
46,98,1
54,40,0
53,38,0
44,71,1
98,25,1
43,74,0
34,69,0
50,88,1
76,38,0
55,82,1
75,30,0
86,61,1
73,76,1
76,34,0
55,70,1
38,45,0
91,95,1
99,48,1
47,45,0
47,62,0
36,76,0
49,77,0
26,64,0
51,51,0
55,62,0
36,78,1
56,58,0
75,70,1
64,55,1
41,76,0
73,34,0
24,94,0
41,67,0
37,30,0
66,58,1
72,47,0
44,76,0
43,80,0
64,47,0
42,22,0
72,53,1
79,68,1
54,91,1
74,75,1
46,70,0
55,73,1
68,82,1
30,54,0
43,83,1
63,82,1
83,61,1
93,28,1
73,95,1
83,72,1
86,49,1
26,93,0
54,79,1
51,45,0
56,41,0
64,61,0
75,53,0
86,52,1
78,88,1
42,56,0
82,81,1
40,27,0
78,71,1
39,56,0
47,20,0
80,82,1
57,96,1
78,67,1
72,71,1
94,51,1
60,64,1
62,54,0
65,84,1
80,70,1
43,55,0
67,66,0
36,69,0
93,42,1
